[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: admin
[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: customer
[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: shifat
[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: shifat2
[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: shifat3
[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: arafat1
[2026-01-27 22:47:28] PASSWORD_MIGRATION | SYSTEM | Migrated password to hashed format for user: jeni
[2026-01-27 22:47:28] MIGRATION_COMPLETE | SYSTEM | All passwords migrated to hashed format
[2026-01-27 22:48:12] LOGIN | admin | User logged in with role: ADMIN
[2026-01-27 22:48:24] LOGIN | jeni | User logged in with role: CUSTOMER
[2026-01-27 22:58:16] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-27 22:58:25] LOGIN | jeni | User logged in with role: CUSTOMER
[2026-01-27 22:58:32] LOGOUT | jeni | User logged out
[2026-01-28 08:50:45] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 08:50:55] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 08:51:14] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 08:51:49] LOGOUT | admin | User logged out
[2026-01-28 08:55:23] LOGIN | shifat | User logged in with role: CUSTOMER
[2026-01-28 08:59:07] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 08:59:15] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 09:20:33] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 09:20:40] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 09:28:18] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 09:28:25] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 09:36:36] LOGOUT | admin | User logged out
[2026-01-28 09:36:56] REGISTER | safwan | New user registered
[2026-01-28 09:37:08] LOGIN | safwan | User logged in with role: CUSTOMER
[2026-01-28 09:37:26] LOGOUT | safwan | User logged out
[2026-01-28 10:16:21] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 10:16:57] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 11:04:53] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 11:05:00] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 11:06:46] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 12:16:29] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 12:16:45] REGISTER | didar | New user registered
[2026-01-28 12:16:55] LOGIN | didar | User logged in with role: CUSTOMER
[2026-01-28 12:18:26] LOGOUT | didar | User logged out
[2026-01-28 12:18:34] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 13:03:20] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 13:43:09] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 13:43:14] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 13:46:45] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 13:49:29] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 13:52:52] LOGOUT | admin | User logged out
[2026-01-28 13:53:02] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 13:53:31] REGISTER | arafat | New user registered
[2026-01-28 13:53:49] LOGIN | arafat | User logged in with role: CUSTOMER
[2026-01-28 13:55:23] LOGOUT | arafat | User logged out
[2026-01-28 13:55:34] LOGIN | admin | User logged in with role: ADMIN
[2026-01-28 14:07:04] LOGOUT | admin | User logged out
[2026-01-28 14:07:42] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 14:07:53] STARTUP | SYSTEM | SmartGrocery CLI application started
[2026-01-28 14:13:13] LOGIN_FAILED |  | Failed login attempt
